[22:40:44] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.15.3
[22:40:44] [main/INFO]: Fabric is preparing JARs on first launch, this may take a few seconds...
[22:40:44] [main/INFO]: Loading 4 mods:
	- fabricloader 0.15.3
	   \-- mixinextras 0.3.2
	- java 21
	- minecraft 1.20.1
[22:40:45] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/workspaces/minecraft-sever/libraries/net/fabricmc/sponge-mixin/0.12.5+mixin.0.8.5/sponge-mixin-0.12.5+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[22:40:55] [main/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:261) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:379) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:431) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:159) ~[?:?]
	at net.minecraft.class_3808.method_16727(class_3808.java:62) ~[server-intermediary.jar:?]
	at net.minecraft.class_3806.method_16714(class_3806.java:137) ~[server-intermediary.jar:?]
	at net.minecraft.class_3807.<init>(class_3807.java:12) ~[server-intermediary.jar:?]
	at net.minecraft.server.Main.main(Main.java:115) ~[server-intermediary.jar:?]
	at net.fabricmc.loader.impl.game.minecraft.MinecraftGameProvider.launch(MinecraftGameProvider.java:470) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.loader.impl.launch.knot.Knot.launch(Knot.java:74) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.loader.impl.launch.knot.KnotServer.main(KnotServer.java:23) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.loader.impl.launch.server.FabricServerLauncher.main(FabricServerLauncher.java:69) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.installer.ServerLauncher.main(ServerLauncher.java:69) ~[server.jar:1.0.0]
[22:40:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:40:58] [main/INFO]: Loaded 7 recipes
[22:40:58] [main/INFO]: Loaded 1271 advancements
[22:40:59] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:40:59] [Server thread/INFO]: Loading properties
[22:40:59] [Server thread/INFO]: Default game type: SURVIVAL
[22:40:59] [Server thread/INFO]: Generating keypair
[22:40:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:40:59] [Server thread/INFO]: Using epoll channel type
[22:40:59] [Server thread/INFO]: Preparing level "world"
[22:41:41] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:41] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:42] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:42] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:43] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:43] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:44] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:44] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:45] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:45] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:46] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:46] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:47] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:47] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:48] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:48] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:49] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:49] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:50] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:50] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:51] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:51] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:52] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:52] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:53] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:53] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:55] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:55] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:56] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:56] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:57] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:57] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:58] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:58] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:59] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:59] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:00] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:00] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:01] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:01] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:02] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:02] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:04] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:04] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:05] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:05] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:42:07] [Worker-Main-5/INFO]: Preparing spawn area: 4%
[22:42:08] [Worker-Main-5/INFO]: Preparing spawn area: 16%
[22:42:11] [Server thread/INFO]: Time elapsed: 55555 ms
[22:42:11] [Server thread/INFO]: Done (71.789s)! For help, type "help"
[22:52:17] [Server thread/INFO]: /advancement (grant|revoke)
[22:52:17] [Server thread/INFO]: /attribute <target> <attribute> (get|base|modifier)
[22:52:17] [Server thread/INFO]: /execute (run|if|unless|as|at|store|positioned|rotated|facing|align|anchored|in|summon|on)
[22:52:17] [Server thread/INFO]: /bossbar (add|remove|list|set|get)
[22:52:17] [Server thread/INFO]: /clear [<targets>]
[22:52:17] [Server thread/INFO]: /clone (<begin>|from)
[22:52:17] [Server thread/INFO]: /damage <target> <amount> [<damageType>]
[22:52:17] [Server thread/INFO]: /data (merge|get|remove|modify)
[22:52:17] [Server thread/INFO]: /datapack (enable|disable|list)
[22:52:17] [Server thread/INFO]: /debug (start|stop|function)
[22:52:17] [Server thread/INFO]: /defaultgamemode <gamemode>
[22:52:17] [Server thread/INFO]: /difficulty [peaceful|easy|normal|hard]
[22:52:17] [Server thread/INFO]: /effect (clear|give)
[22:52:17] [Server thread/INFO]: /me <action>
[22:52:17] [Server thread/INFO]: /enchant <targets> <enchantment> [<level>]
[22:52:17] [Server thread/INFO]: /experience (add|set|query)
[22:52:17] [Server thread/INFO]: /xp -> experience
[22:52:17] [Server thread/INFO]: /fill <from> <to> <block> [replace|keep|outline|hollow|destroy]
[22:52:17] [Server thread/INFO]: /fillbiome <from> <to> <biome> [replace]
[22:52:17] [Server thread/INFO]: /forceload (add|remove|query)
[22:52:17] [Server thread/INFO]: /function <name>
[22:52:17] [Server thread/INFO]: /gamemode <gamemode> [<target>]
[22:52:17] [Server thread/INFO]: /gamerule (announceAdvancements|blockExplosionDropDecay|commandBlockOutput|commandModificationBlockLimit|disableElytraMovementCheck|disableRaids|doDaylightCycle|doEntityDrops|doFireTick|doImmediateRespawn|doInsomnia|doLimitedCrafting|doMobLoot|doMobSpawning|doPatrolSpawning|doTileDrops|doTraderSpawning|doVinesSpread|doWardenSpawning|doWeatherCycle|drowningDamage|fallDamage|fireDamage|forgiveDeadPlayers|freezeDamage|globalSoundEvents|keepInventory|lavaSourceConversion|logAdminCommands|maxCommandChainLength|maxEntityCramming|mobExplosionDropDecay|mobGriefing|naturalRegeneration|playersSleepingPercentage|randomTickSpeed|reducedDebugInfo|sendCommandFeedback|showDeathMessages|snowAccumulationHeight|spawnRadius|spectatorsGenerateChunks|tntExplosionDropDecay|universalAnger|waterSourceConversion)
[22:52:17] [Server thread/INFO]: /give <targets> <item> [<count>]
[22:52:17] [Server thread/INFO]: /help [<command>]
[22:52:17] [Server thread/INFO]: /item (replace|modify)
[22:52:17] [Server thread/INFO]: /kick <targets> [<reason>]
[22:52:17] [Server thread/INFO]: /kill [<targets>]
[22:52:17] [Server thread/INFO]: /list [uuids]
[22:52:17] [Server thread/INFO]: /locate (structure|biome|poi)
[22:52:17] [Server thread/INFO]: /loot (replace|insert|give|spawn)
[22:52:17] [Server thread/INFO]: /msg <targets> <message>
[22:52:17] [Server thread/INFO]: /tell -> msg
[22:52:17] [Server thread/INFO]: /w -> msg
[22:52:17] [Server thread/INFO]: /particle <name> [<pos>]
[22:52:17] [Server thread/INFO]: /place (feature|jigsaw|structure|template)
[22:52:17] [Server thread/INFO]: /playsound <sound> (master|music|record|weather|block|hostile|neutral|player|ambient|voice)
[22:52:17] [Server thread/INFO]: /reload
[22:52:17] [Server thread/INFO]: /recipe (give|take)
[22:52:17] [Server thread/INFO]: /return <value>
[22:52:17] [Server thread/INFO]: /ride <target> (mount|dismount)
[22:52:17] [Server thread/INFO]: /say <message>
[22:52:17] [Server thread/INFO]: /schedule (function|clear)
[22:52:17] [Server thread/INFO]: /scoreboard (objectives|players)
[22:52:17] [Server thread/INFO]: /seed
[22:52:17] [Server thread/INFO]: /setblock <pos> <block> [destroy|keep|replace]
[22:52:17] [Server thread/INFO]: /spawnpoint [<targets>]
[22:52:17] [Server thread/INFO]: /setworldspawn [<pos>]
[22:52:17] [Server thread/INFO]: /spectate [<target>]
[22:52:17] [Server thread/INFO]: /spreadplayers <center> <spreadDistance> <maxRange> (<respectTeams>|under)
[22:52:17] [Server thread/INFO]: /stopsound <targets> [*|master|music|record|weather|block|hostile|neutral|player|ambient|voice]
[22:52:17] [Server thread/INFO]: /summon <entity> [<pos>]
[22:52:17] [Server thread/INFO]: /tag <targets> (add|remove|list)
[22:52:17] [Server thread/INFO]: /team (list|add|remove|empty|join|leave|modify)
[22:52:17] [Server thread/INFO]: /teammsg <message>
[22:52:17] [Server thread/INFO]: /tm -> teammsg
[22:52:17] [Server thread/INFO]: /teleport (<location>|<destination>|<targets>)
[22:52:17] [Server thread/INFO]: /tp -> teleport
[22:52:17] [Server thread/INFO]: /tellraw <targets> <message>
[22:52:17] [Server thread/INFO]: /time (set|add|query)
[22:52:17] [Server thread/INFO]: /title <targets> (clear|reset|title|subtitle|actionbar|times)
[22:52:17] [Server thread/INFO]: /trigger <objective> [add|set]
[22:52:17] [Server thread/INFO]: /weather (clear|rain|thunder)
[22:52:17] [Server thread/INFO]: /worldborder (add|set|center|damage|get|warning)
[22:52:17] [Server thread/INFO]: /jfr (start|stop)
[22:52:17] [Server thread/INFO]: /ban-ip <target> [<reason>]
[22:52:17] [Server thread/INFO]: /banlist [ips|players]
[22:52:17] [Server thread/INFO]: /ban <targets> [<reason>]
[22:52:17] [Server thread/INFO]: /deop <targets>
[22:52:17] [Server thread/INFO]: /op <targets>
[22:52:17] [Server thread/INFO]: /pardon <targets>
[22:52:17] [Server thread/INFO]: /pardon-ip <target>
[22:52:17] [Server thread/INFO]: /perf (start|stop)
[22:52:17] [Server thread/INFO]: /save-all [flush]
[22:52:17] [Server thread/INFO]: /save-off
[22:52:17] [Server thread/INFO]: /save-on
[22:52:17] [Server thread/INFO]: /setidletimeout <minutes>
[22:52:17] [Server thread/INFO]: /stop
[22:52:17] [Server thread/INFO]: /whitelist (on|off|list|add|remove|reload)
[22:52:40] [Server thread/INFO]: Stopping the server
[22:52:40] [Server thread/INFO]: Stopping server
[22:52:40] [Server thread/INFO]: Saving players
[22:52:40] [Server thread/INFO]: Saving worlds
[22:52:41] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[22:53:04] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[22:53:04] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[22:53:04] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[22:53:04] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[22:53:04] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[22:53:04] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
